"Proconsularis","Numidia","Mauretania Caesarea","Mauretania Tingitana","Tripolitania"
"Proconsularis",0,0,0,0.2,0
"Numidia",0,0,0.419,0,0.426
"Mauretania Caesarea",0,0.419,0,0,0.245
"Mauretania Tingitana",0.2,0,0,0,0
"Tripolitania",0,0.426,0.245,0,0
