Catalogue,Findspot,Province,Denomination,Mint_Year,Mint
114,Gafsa,Proconsularis,sestertius,246.0,Rome
115,Gafsa,Proconsularis,sestertius,246.0,Rome
116,Gafsa,Proconsularis,sestertius,245.0,Rome
117,Gafsa,Proconsularis,sestertius,247.0,Rome
118,Gafsa,Proconsularis,sestertius,248.0,Rome
119,Gafsa,Proconsularis,sestertius,249.0,Rome
120,Gafsa,Proconsularis,sestertius,248.0,Rome
121,Gafsa,Proconsularis,sestertius,250.0,Rome
122,Gafsa,Proconsularis,sestertius,250.0,Rome
123,Gafsa,Proconsularis,sestertius,250.0,Rome
124,Gafsa,Proconsularis,sestertius,250.0,Rome
125,Gafsa,Proconsularis,sestertius,250.0,Rome
126,Gafsa,Proconsularis,sestertius,250.0,Rome
127,Gafsa,Proconsularis,sestertius,250.0,Rome
128,Gafsa,Proconsularis,sestertius,251.0,Rome
129,Gafsa,Proconsularis,sestertius,252.0,Rome
130,Gafsa,Proconsularis,sestertius,252.0,Rome
131,Gafsa,Proconsularis,sestertius,252.0,Rome
132,Gafsa,Proconsularis,sestertius,252.0,Rome
133,Gafsa,Proconsularis,sestertius,256.0,Rome
134,Guelma,Numidia,sestertius,256.0,Rome
135,Guelma,Numidia,sestertius,256.0,Rome
136,Guelma,Numidia,sestertius,255.0,Rome
137,Guelma,Numidia,sestertius,255.0,Rome
138,Guelma,Numidia,sestertius,256.0,Rome
139,Guelma,Numidia,sestertius,256.0,Rome
140,Guelma,Numidia,sestertius,214.0,Rome
141,Guelma,Numidia,sestertius,215.0,Rome
142,Guelma,Numidia,sestertius,213.0,Rome
143,Guelma,Numidia,sestertius,211.0,Rome
144,Guelma,Numidia,sestertius,211.0,Rome
145,Guelma,Numidia,sestertius,211.0,Rome
146,Guelma,Numidia,sestertius,212.0,Rome
147,Guelma,Numidia,sestertius,215.0,Rome
148,Guelma,Numidia,sestertius,217.0,Rome
149,Guelma,Numidia,sestertius,217.0,Rome
150,Guelma,Numidia,sestertius,218.0,Rome
151,Guelma,Numidia,sestertius,218.0,Rome
152,Guelma,Numidia,sestertius,220.0,Rome
153,Guelma,Numidia,sestertius,221.0,Rome
154,Guelma,Numidia,sestertius,221.0,Rome
155,Guelma,Numidia,sestertius,220.0,Rome
156,Guelma,Numidia,sestertius,221.0,Rome
157,Guelma,Numidia,sestertius,221.0,Rome
158,Guelma,Numidia,sestertius,221.0,Rome
159,Guelma,Numidia,sestertius,222.0,Rome
160,Guelma,Numidia,sestertius,222.0,Rome
161,Guelma,Numidia,sestertius,222.0,Rome
162,Guelma,Numidia,sestertius,223.0,Rome
163,Guelma,Numidia,sestertius,226.0,Rome
164,Guelma,Numidia,sestertius,226.0,Rome
165,Guelma,Numidia,sestertius,228.0,Rome
166,Guelma,Numidia,sestertius,227.0,Rome
167,Guelma,Numidia,sestertius,227.0,Rome
168,Guelma,Numidia,sestertius,229.0,Rome
169,Guelma,Numidia,sestertius,230.0,Rome
170,Guelma,Numidia,sestertius,230.0,Rome
171,Guelma,Numidia,sestertius,230.0,Rome
172,Guelma,Numidia,sestertius,231.0,Rome
173,Guelma,Numidia,sestertius,231.0,Rome
174,Guelma,Numidia,sestertius,231.0,Rome
175,Guelma,Numidia,sestertius,233.0,Rome
176,Guelma,Numidia,sestertius,234.0,Rome
177,Guelma,Numidia,sestertius,234.0,Rome
178,Guelma,Numidia,sestertius,235.0,Rome
179,Guelma,Numidia,sestertius,223.0,Rome
180,Guelma,Numidia,sestertius,223.0,Rome
181,Guelma,Numidia,sestertius,223.0,Rome
182,Guelma,Numidia,sestertius,226.0,Rome
183,Guelma,Numidia,sestertius,228.0,Rome
184,Guelma,Numidia,sestertius,229.0,Rome
185,Guelma,Numidia,sestertius,230.0,Rome
186,Guelma,Numidia,sestertius,230.0,Rome
187,Guelma,Numidia,sestertius,231.0,Rome
188,Guelma,Numidia,sestertius,231.0,Rome
189,Guelma,Numidia,sestertius,232.0,Rome
190,Guelma,Numidia,sestertius,234.0,Rome
191,Guelma,Numidia,sestertius,221.0,Rome
192,Guelma,Numidia,sestertius,223.0,Rome
193,Guelma,Numidia,sestertius,223.0,Rome
194,Guelma,Numidia,sestertius,229.0,Rome
195,Guelma,Numidia,sestertius,229.0,Rome
196,Guelma,Numidia,sestertius,222.0,Rome
197,Guelma,Numidia,sestertius,226.0,Rome
198,Guelma,Numidia,sestertius,227.0,Rome
199,Guelma,Numidia,sestertius,227.0,Rome
200,Guelma,Numidia,sestertius,227.0,Rome
201,Guelma,Numidia,sestertius,232.0,Rome
202,Guelma,Numidia,sestertius,232.0,Rome
203,Guelma,Numidia,sestertius,232.0,Rome
204,Guelma,Numidia,sestertius,236.0,Rome
205,Guelma,Numidia,sestertius,236.0,Rome
206,Guelma,Numidia,sestertius,236.0,Rome
207,Guelma,Numidia,sestertius,238.0,Rome
208,Guelma,Numidia,sestertius,236.0,Rome
209,Guelma,Numidia,sestertius,236.0,Rome
210,Guelma,Numidia,sestertius,236.0,Rome
211,Guelma,Numidia,sestertius,238.0,Rome
212,Guelma,Numidia,sestertius,238.0,Rome
213,Guelma,Numidia,sestertius,237.0,Rome
214,Guelma,Numidia,sestertius,238.0,Rome
215,Guelma,Numidia,sestertius,238.0,Rome
216,Guelma,Numidia,sestertius,238.0,Rome
217,Guelma,Numidia,sestertius,237.0,Rome
218,Guelma,Numidia,sestertius,238.0,Rome
219,Guelma,Numidia,sestertius,238.0,Rome
220,Guelma,Numidia,sestertius,238.0,Rome
221,Guelma,Numidia,sestertius,238.0,Rome
222,Guelma,Numidia,sestertius,238.0,Rome
223,Guelma,Numidia,sestertius,238.0,Rome
224,Guelma,Numidia,sestertius,238.0,Rome
225,Guelma,Numidia,sestertius,238.0,Rome
226,Guelma,Numidia,sestertius,238.0,Rome
227,Guelma,Numidia,sestertius,238.0,Rome
228,Guelma,Numidia,sestertius,238.0,Rome
229,Guelma,Numidia,sestertius,238.0,Rome
230,Guelma,Numidia,sestertius,238.0,Rome
231,Guelma,Numidia,sestertius,239.0,Rome
232,Guelma,Numidia,sestertius,239.0,Rome
233,Guelma,Numidia,sestertius,239.0,Rome
234,Guelma,Numidia,sestertius,239.0,Rome
235,Guelma,Numidia,sestertius,239.0,Rome
236,Guelma,Numidia,sestertius,239.0,Rome
237,Guelma,Numidia,sestertius,239.0,Rome
238,Guelma,Numidia,sestertius,239.0,Rome
239,Guelma,Numidia,sestertius,240.0,Rome
240,Guelma,Numidia,sestertius,240.0,Rome
241,Guelma,Numidia,sestertius,240.0,Rome
242,Guelma,Numidia,sestertius,241.0,Rome
243,Guelma,Numidia,sestertius,242.0,Rome
244,Guelma,Numidia,sestertius,242.0,Rome
245,Guelma,Numidia,sestertius,241.0,Rome
246,Guelma,Numidia,sestertius,241.0,Rome
247,Guelma,Numidia,sestertius,241.0,Rome
248,Guelma,Numidia,sestertius,243.0,Rome
249,Guelma,Numidia,sestertius,244.0,Rome
250,Guelma,Numidia,sestertius,239.0,Rome
251,Guelma,Numidia,sestertius,239.0,Rome
252,Guelma,Numidia,sestertius,239.0,Rome
253,Guelma,Numidia,sestertius,241.0,Rome
254,Guelma,Numidia,sestertius,241.0,Rome
255,Guelma,Numidia,sestertius,240.0,Rome
256,Guelma,Numidia,sestertius,241.0,Rome
257,Guelma,Numidia,sestertius,242.0,Rome
258,Guelma,Numidia,sestertius,243.0,Rome
259,Guelma,Numidia,sestertius,243.0,Rome
260,Guelma,Numidia,sestertius,244.0,Rome
261,Guelma,Numidia,sestertius,243.0,Rome
262,Guelma,Numidia,sestertius,244.0,Rome
263,Guelma,Numidia,sestertius,245.0,Rome
264,Guelma,Numidia,sestertius,245.0,Rome
265,Guelma,Numidia,sestertius,245.0,Rome
266,Guelma,Numidia,sestertius,246.0,Rome
267,Guelma,Numidia,sestertius,247.0,Rome
268,Guelma,Numidia,sestertius,248.0,Rome
269,Guelma,Numidia,sestertius,245.0,Rome
270,Guelma,Numidia,sestertius,247.0,Rome
271,Guelma,Numidia,sestertius,247.0,Rome
272,Guelma,Numidia,sestertius,247.0,Rome
273,Guelma,Numidia,sestertius,248.0,Rome
274,Guelma,Numidia,sestertius,248.0,Rome
275,Guelma,Numidia,sestertius,248.0,Rome
276,Guelma,Numidia,sestertius,249.0,Rome
277,Guelma,Numidia,sestertius,245.0,Rome
278,Guelma,Numidia,sestertius,247.0,Rome
279,Guelma,Numidia,sestertius,248.0,Rome
280,Guelma,Numidia,sestertius,248.0,Rome
281,Guelma,Numidia,sestertius,246.0,Rome
282,Guelma,Numidia,sestertius,248.0,Rome
283,Guelma,Numidia,sestertius,248.0,Rome
284,Guelma,Numidia,sestertius,249.0,Rome
285,Guelma,Numidia,sestertius,249.0,Rome
286,Guelma,Numidia,sestertius,249.0,Rome
287,Guelma,Numidia,sestertius,250.0,Rome
288,Guelma,Numidia,sestertius,251.0,Rome
289,Guelma,Numidia,sestertius,250.0,Rome
290,Guelma,Numidia,sestertius,250.0,Rome
291,Guelma,Numidia,sestertius,250.0,Rome
292,Guelma,Numidia,sestertius,249.0,Rome
293,Guelma,Numidia,sestertius,251.0,Rome
294,Guelma,Numidia,sestertius,250.0,Rome
295,Guelma,Numidia,sestertius,251.0,Rome
296,Guelma,Numidia,sestertius,250.0,Rome
297,Guelma,Numidia,sestertius,251.0,Rome
298,Guelma,Numidia,sestertius,251.0,Rome
299,Guelma,Numidia,sestertius,250.0,Rome
300,Guelma,Numidia,sestertius,251.0,Rome
301,Guelma,Numidia,sestertius,251.0,Rome
302,Guelma,Numidia,sestertius,251.0,Rome
303,Guelma,Numidia,sestertius,252.0,Rome
304,Guelma,Numidia,sestertius,252.0,Rome
305,Guelma,Numidia,sestertius,252.0,Rome
306,Guelma,Numidia,sestertius,252.0,Rome
307,Guelma,Numidia,sestertius,252.0,Rome
308,Guelma,Numidia,sestertius,252.0,Rome
309,Guelma,Numidia,sestertius,252.0,Rome
310,Guelma,Numidia,sestertius,253.0,Rome
311,Guelma,Numidia,sestertius,252.0,Rome
312,Guelma,Numidia,sestertius,252.0,Rome
313,Guelma,Numidia,sestertius,252.0,Rome
314,Guelma,Numidia,sestertius,252.0,Rome
315,Guelma,Numidia,sestertius,253.0,Rome
316,Guelma,Numidia,sestertius,252.0,Rome
317,Guelma,Numidia,sestertius,252.0,Rome
318,Guelma,Numidia,sestertius,252.0,Rome
319,Guelma,Numidia,sestertius,253.0,Rome
320,Guelma,Numidia,sestertius,253.0,Rome
321,Guelma,Numidia,sestertius,253.0,Rome
322,Guelma,Numidia,sestertius,253.0,Rome
323,Guelma,Numidia,sestertius,253.0,Rome
324,Guelma,Numidia,sestertius,253.0,Rome
325,Guelma,Numidia,sestertius,254.0,Rome
326,Guelma,Numidia,sestertius,254.0,Rome
327,Guelma,Numidia,sestertius,254.0,Rome
328,Guelma,Numidia,sestertius,254.0,Rome
329,Guelma,Numidia,sestertius,254.0,Rome
330,Guelma,Numidia,sestertius,254.0,Rome
331,Guelma,Numidia,sestertius,254.0,Rome
332,Guelma,Numidia,sestertius,254.0,Rome
